"last_name, first_name",player_id,year,home_run,xba,xslg,xwoba,xobp,xiso,xwobacon,xbacon,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent
"Cabrera, Miguel",408234,2016,38,0.332,0.677,0.449,0.409,0.345,0.524,0.411,93.6,12.3,40.1,15.9,7.4,50.6
"Gonzalez, Adrian",408236,2016,18,0.271,0.423,0.327,0.339,0.152,0.371,0.34,88.2,9.6,38.9,4.6,7,33.9
"Phillips, Brandon",408252,2016,11,0.262,0.373,0.289,0.295,0.111,0.31,0.298,86.4,10.3,35.1,2.7,4.1,25.5
"Upton Jr., B.J.",425834,2016,20,0.231,0.394,0.294,0.286,0.162,0.384,0.334,88.3,9.2,31.4,5.8,6.4,36.6
"Molina, Yadier",425877,2016,8,0.281,0.417,0.329,0.337,0.136,0.339,0.319,87.8,9.4,35.5,3.6,5.7,28.1
"Cano, Robinson",429664,2016,39,0.283,0.478,0.348,0.338,0.195,0.381,0.334,90.1,11.5,32.7,7.3,5.9,42.8
"Encarnacion, Edwin",429665,2016,42,0.263,0.536,0.38,0.36,0.273,0.433,0.34,90.8,15.8,35.9,12.3,6.6,40.8
"Bautista, Jose",430832,2016,22,0.252,0.432,0.36,0.383,0.179,0.384,0.333,91.5,14.8,30.6,8.3,8.3,45.7
"Jones, Adam",430945,2016,29,0.26,0.46,0.328,0.308,0.2,0.372,0.318,88.7,14.7,31.8,8,5.5,34.7
"Martin, Russell",431145,2016,20,0.224,0.411,0.326,0.332,0.187,0.395,0.331,89.2,10,29.4,9.3,6.4,40.3
"Granderson, Curtis",434158,2016,30,0.245,0.426,0.333,0.343,0.182,0.37,0.32,87.8,18.7,33.8,6.9,6.7,33.1
"Pagan, Angel",434636,2016,12,0.285,0.39,0.32,0.341,0.105,0.334,0.328,85.7,12.4,36.1,3,2.3,21.8
"Ramirez, Hanley",434670,2016,30,0.262,0.472,0.348,0.342,0.211,0.396,0.335,90.6,9.3,29.6,10.4,7.2,42
"Morales, Kendrys",434778,2016,30,0.291,0.555,0.389,0.356,0.265,0.458,0.373,92.8,11.3,34.5,10.8,8.6,49.9
"Kendrick III, Howie",435062,2016,8,0.268,0.416,0.332,0.342,0.148,0.367,0.336,90.5,1.7,26.9,5.8,5.6,42.1
"Napoli, Mike",435063,2016,34,0.22,0.471,0.34,0.321,0.251,0.443,0.337,89.6,18.5,33.2,13.3,7.1,39.4
"Kinsler, Ian",435079,2016,28,0.267,0.417,0.326,0.329,0.151,0.358,0.327,87.1,18.3,37.4,3.8,7.5,30.8
"Desmond, Ian",435622,2016,22,0.258,0.424,0.319,0.313,0.166,0.391,0.348,90.7,4.8,28.4,7.5,4.9,43.6
"Cruz Jr., Nelson",443558,2016,43,0.279,0.595,0.397,0.356,0.317,0.499,0.381,94.6,11.2,34.8,16.5,8.5,52.4
"Trumbo, Mark",444432,2016,47,0.267,0.549,0.37,0.327,0.283,0.476,0.371,92.8,15.1,31.8,15.6,5.6,44.7
"Escobar, Alcides",444876,2016,7,0.244,0.322,0.262,0.277,0.078,0.286,0.286,84,9.4,31.7,1.4,2.9,17.6
"Prado, Martin",445988,2016,8,0.284,0.37,0.312,0.341,0.086,0.317,0.319,87.9,8.6,31.2,1.3,3.9,30.8
"Longoria, Evan",446334,2016,36,0.269,0.541,0.361,0.319,0.272,0.441,0.35,90.8,18.1,38.1,12.1,7.9,41.5
"Cozart, Zack",446359,2016,16,0.24,0.362,0.289,0.298,0.122,0.314,0.292,86.3,15.2,31.4,2.3,6.5,27.5
"Davis, Chris",448801,2016,38,0.22,0.493,0.353,0.334,0.273,0.484,0.36,91.1,17.2,35.7,15.1,8,44
"Zobrist, Ben",450314,2016,18,0.276,0.418,0.357,0.393,0.141,0.351,0.327,89.2,9.5,32.5,4.5,4.7,35.6
"Fowler, Dexter",451594,2016,13,0.255,0.407,0.35,0.378,0.152,0.388,0.35,88.1,12.4,37.1,5.6,6.2,33.8
"Headley, Chase",452104,2016,14,0.241,0.377,0.308,0.323,0.137,0.352,0.321,87.2,11.9,33.6,5.9,4.8,33.1
"Span, Denard",452655,2016,11,0.28,0.389,0.324,0.347,0.109,0.335,0.327,86,6.6,29.5,2.8,3.2,29.7
